Summary,Issue Type,Description,Story Points,Epic Link,Labels
"AUTH-01: Register with Email - BE",Story,"As a User, I want to register a new account with email and password, so that I can start using the app.

AC-01: The system must display a registration form with fields: Full Name, Email, Password, Confirm Password.
AC-02: When the user submits the form, the system must validate all required fields are filled.
AC-03: If Email is already registered, the system must display: ""Email already exists.""
AC-04: If Password does not match Confirm Password, the system must display: ""Passwords do not match.""
AC-05: If Password is less than 6 characters, the system must display: ""Password must be at least 6 characters.""
AC-06: On successful registration, the system must create the account, log the user in automatically, and redirect to the Home screen.
AC-07: The system must return access token and refresh token for session management.",5,ROUT-12,Auth;BE
"AUTH-02: Send OTP to Email - BE",Story,"As a User, I want to receive an OTP code to my email, so that I can verify my email address.

AC-01: The system must display a ""Send OTP"" button after entering email.
AC-02: When the user clicks ""Send OTP"", the system must generate a 6-digit OTP code.
AC-03: The system must send the OTP to the user's email within 30 seconds.
AC-04: The OTP must expire after 5 minutes.
AC-05: If the email is invalid, the system must display: ""Invalid email format.""
AC-06: On success, the system must display: ""OTP sent to your email.""
AC-07: The user can request a new OTP after 60 seconds (resend cooldown).",5,ROUT-12,Auth;BE
"AUTH-03: Verify OTP - BE",Story,"As a User, I want to verify my email by entering the OTP code, so that my account becomes verified.

AC-01: The system must display an OTP input screen with 6 digit boxes.
AC-02: When the user enters the correct OTP, the system must mark the account as verified.
AC-03: If the OTP is incorrect, the system must display: ""Invalid OTP code.""
AC-04: If the OTP has expired, the system must display: ""OTP expired. Please request a new one.""
AC-05: After 5 failed attempts, the system must block further attempts for 15 minutes.
AC-06: On successful verification, the system must redirect to the Home screen.",3,ROUT-12,Auth;BE
"AUTH-04: Login with Email - BE",Story,"As a User, I want to login with my email and password, so that I can access my account.

AC-01: The system must display a login form with Email and Password fields.
AC-02: When the user submits the form, the system must validate credentials.
AC-03: If the email is not registered, the system must display: ""Email not found.""
AC-04: If the password is incorrect, the system must display: ""Invalid email or password.""
AC-05: On successful login, the system must redirect to the Home screen.
AC-06: The system must return access token (expires in 1 hour) and refresh token (expires in 7 days).",3,ROUT-12,Auth;BE
"AUTH-05: Login with Google - BE",Story,"As a User, I want to login with my Google account, so that I can sign in quickly without creating a new password.

AC-01: The system must display a ""Continue with Google"" button on the login screen.
AC-02: When the user clicks the button, the system must redirect to Google OAuth consent screen.
AC-03: After Google authentication, if email already exists (local account), the system must link the Google account to the existing account.
AC-04: If email does not exist, the system must create a new account with Google information.
AC-05: On success, the system must redirect to the Home screen with the user logged in.
AC-06: The system must store Google Subject ID for future logins.",5,ROUT-12,Auth;BE
"AUTH-06: Refresh Token - BE",Story,"As a User, I want my session to be refreshed automatically, so that I don't have to login again frequently.

AC-01: When the access token expires, the system must use the refresh token to obtain a new access token.
AC-02: If the refresh token is valid, the system must return a new access token.
AC-03: If the refresh token is expired or invalid, the system must redirect to the Login screen.
AC-04: The system must not require user interaction for token refresh.",3,ROUT-12,Auth;BE
"USER-01: Update Profile - BE",Story,"As a User, I want to update my profile information (name, bio, avatar), so that I can personalize my account.

AC-01: The system must display a Profile Edit screen with current user information pre-filled.
AC-02: The user can edit: Full Name, Bio (max 500 characters), Avatar.
AC-03: When the user saves changes, the system must update the profile.
AC-04: On success, the system must display: ""Profile updated successfully.""
AC-05: If Bio exceeds 500 characters, the system must display: ""Bio must be under 500 characters.""",3,ROUT-12,User;BE
"RTN-01: Create Routine - BE",Story,"As a User, I want to create a new Routine, so that I can start organizing my daily habits.

AC-01: The system must display a ""Create Routine"" form with fields: Title, Description, Category, Theme Color, Schedule, Visibility.
AC-02: Title is required. If empty, the system must display: ""Title is required.""
AC-03: If Title exceeds 200 characters, the system must display: ""Title must be under 200 characters.""
AC-04: The user can select Category from: Health, Study, Work, Lifestyle, Other.
AC-05: The user can select Schedule: Daily (every day) or Weekly (specific days).
AC-06: The user can set Visibility: Private or Public.
AC-07: On save, the system must create the Routine and redirect to the Routine Detail screen.
AC-08: The system must display: ""Routine created successfully.""",5,ROUT-13,Routine;BE
"RTN-02: Add Tasks to Routine - BE",Story,"As a User, I want to add Tasks to my Routine, so that I can break down my habits into actionable steps.

AC-01: On the Routine Detail screen, the system must display an ""Add Task"" button.
AC-02: When adding a task, the user must enter: Task Title, Task Type (Checkbox or Quantity), Icon.
AC-03: If Task Type is Quantity, the user must enter: Target Value (e.g., 2000) and Unit Name (e.g., ""ml"").
AC-04: The user can select an icon from the icon library for visual appeal.
AC-05: Tasks must be displayed in the order they were added.
AC-06: On save, the system must add the task and display: ""Task added.""",5,ROUT-13,Routine;BE
"RTN-03: Reorder Tasks - BE",Story,"As a User, I want to reorder my Tasks by dragging, so that I can prioritize the most important steps first.

AC-01: The system must allow drag and drop to reorder tasks on the Routine Detail screen.
AC-02: When the user releases a task in a new position, the system must save the new order.
AC-03: The new order must persist when the screen is refreshed.
AC-04: On success, the system must display a brief confirmation (e.g., toast: ""Order updated"").",3,ROUT-13,Routine;BE
